Block Bed RoomNo
A 1 101
A 2 102
A 3 103
A 4 104
A 1 105
A 2 106
A 3 107
A 4 108
A 1 109
A 2 110
A 3 111
A 4 112
A 1 113
A 2 114
A 3 115
A 4 116
A 1 117
A 2 118
A 3 119
A 4 120
A 1 121
A 2 122
A 3 123
A 4 124
A 1 125
A 2 126
A 3 127
A 4 128
A 1 129
A 2 130
B 1 101
B 2 102
B 3 103
B 4 104
B 1 105
B 2 106
B 3 107
B 4 108
B 1 109
B 2 110
B 3 111
B 4 112
B 1 113
B 2 114
B 3 115
B 4 116
B 1 117
B 2 118
B 3 119
B 4 120
B 1 121
B 2 122
B 3 123
B 4 124
B 1 125
B 2 126
B 3 127
B 4 128
B 1 129
B 2 130
C 2 101
C 3 102
C 4 103
C 2 104
C 3 105
C 4 106
C 2 107
C 3 108
C 4 109
C 2 110
C 3 111
C 4 112
C 2 113
C 3 114
C 4 115
C 2 116
C 3 117
C 4 118
C 2 119
C 3 120
C 4 121
C 2 122
C 3 123
C 4 124
C 2 125
C 3 126
C 4 127
C 2 128
C 3 129
C 4 130
